binary,OS,OS_sig,SNR,abs_SNR,h_0,residual_amplitude_us,frequency_nHz,chirp_mass_Msun,distance_Mpc,ra_deg,dec_deg,mean_rho,std_rho,pos_corr,neg_corr,min_psr_separation_deg,mean_psr_separation_deg,success,index,pre_rank,final_rank
"{'Mc': np.float64(2.748149585698905e+40), 'f': np.float64(1.5785574388696167e-09), 'D': np.float64(3850.9567212785255), 'ra': np.float64(4.005442120849613), 'dec': np.float64(-0.24057786093941907), 'psi': np.float64(2.7625172950168073), 'iota': np.float64(0.3032406338687956), 'phi0': np.float64(5.855364395846245)}",5.938402574881735e-33,2.030042991333587e-30,0.0029252595143222297,0.0029252595143222297,1.6653735474352947e-15,0.16790800615947976,1.5785574388696166,13820422665.159168,3850.9567212785255,229.4949286086123,-13.784096076113935,-4.940891171449985e-34,8.432271852121961e-32,1173,1038,16.629638737252836,85.58227724060762,True,702,28,23
"{'Mc': np.float64(2.968085825336708e+40), 'f': np.float64(1.0897501075757863e-09), 'D': np.float64(5323.142612400484), 'ra': np.float64(1.6849161265967343), 'dec': np.float64(0.05404812819491486), 'psi': np.float64(2.2939901265791143), 'iota': np.float64(1.1508632646385646), 'phi0': np.float64(3.7647954750713097)}",5.5770555748885795e-33,2.030042991333587e-30,0.00274725983572637,0.00274725983572637,1.0699168576519628e-15,0.15625835263412938,1.0897501075757863,14926480285.529617,5323.142612400484,96.53858288752319,3.0967296361506502,8.838026198053584e-34,6.489286038117696e-32,1113,1098,5.97944110047458,148.17143705196338,True,1061,48,24
"{'Mc': np.float64(3.5461621875566133e+40), 'f': np.float64(2.1989285124008964e-09), 'D': np.float64(10703.348905705794), 'ra': np.float64(1.8158717423265527), 'dec': np.float64(0.9007206866180175), 'psi': np.float64(2.9955544941473917), 'iota': np.float64(0.37485136905627586), 'phi0': np.float64(4.048901148991136)}",5.0372998258056606e-33,2.030042991333587e-30,0.0024813759350468386,0.0024813759350468386,1.143031350370437e-15,0.08273078842469105,2.1989285124008964,17833621767.271385,10703.348905705794,104.0417869723788,51.60749386333805,2.0448355008468896e-33,9.461085826153115e-32,1104,1107,2.57140410480202,150.0872988442538,True,297,45,25
"{'Mc': np.float64(2.2986142247334534e+40), 'f': np.float64(1.1770018514055473e-09), 'D': np.float64(3578.4372982769137), 'ra': np.float64(3.7305838956932655), 'dec': np.float64(-0.3209549976662767), 'psi': np.float64(2.210405975066911), 'iota': np.float64(0.3776864067279817), 'phi0': np.float64(2.9490092631097573)}",4.738946482521665e-33,2.030042991333587e-30,0.0023344069572677033,0.0023344069572677033,1.0942274249096828e-15,0.14796213220321106,1.1770018514055474,11559712868.353325,3578.4372982769137,213.74671234269704,-18.389366779908844,2.149385149866387e-33,6.310306356861407e-32,1091,1120,18.243508656661785,91.62803737600832,True,1551,47,26
"{'Mc': np.float64(4.960257384735947e+40), 'f': np.float64(1.072090214164022e-09), 'D': np.float64(10771.917922136501), 'ra': np.float64(1.1489226378563628), 'dec': np.float64(-0.5376441435256404), 'psi': np.float64(1.4366593718499943), 'iota': np.float64(1.0943547797588544), 'phi0': np.float64(2.326469506141857)}",3.486040389848105e-33,2.030042991333587e-30,0.0017172249084035586,0.0017172249084035586,1.2308570936966426e-15,0.18272435296342893,1.0720902141640218,24945095398.652973,10771.917922136501,65.82841813620709,-30.804740303945078,1.786487303049593e-33,9.197290040533319e-32,1069,1142,16.813808897552267,178.0505712999053,True,1813,41,27
"{'Mc': np.float64(6.179755899137873e+40), 'f': np.float64(1.08067200067222e-09), 'D': np.float64(14402.889078238246), 'ra': np.float64(5.034925701039326), 'dec': np.float64(-0.9502828019654839), 'psi': np.float64(0.742650429175009), 'iota': np.float64(1.9860125320258153), 'phi0': np.float64(0.8665184549006546)}",1.2661538976459347e-33,2.030042991333587e-30,0.0006237079229608659,0.0006237079229608659,1.3349692991990175e-15,0.19660633634561114,1.0806720006722201,31077943841.938137,14402.889078238246,288.4799928315006,-54.447193896488436,2.689754541687247e-33,5.266933703621074e-32,1094,1117,16.74164693925407,107.37164004108826,True,1442,35,28
"{'Mc': np.float64(5.687055245605656e+40), 'f': np.float64(4.417630444088898e-09), 'D': np.float64(14387.331517537743), 'ra': np.float64(2.6355122980344174), 'dec': np.float64(-0.06335249412422417), 'psi': np.float64(2.108538361824272), 'iota': np.float64(0.17392898168258106), 'phi0': np.float64(1.671836717994029)}",9.744245007690751e-34,2.030042991333587e-30,0.0004800019038655683,0.0004800019038655683,2.9748461427331507e-15,0.1071754359143744,4.417630444088898,28600156128.10682,14387.331517537743,151.0037315321969,-3.629830534945391,-1.1410791803608426e-32,3.6247908747410107e-31,1142,1069,6.342828118756278,115.87114123380347,True,1944,12,29
"{'Mc': np.float64(5.139376607853599e+40), 'f': np.float64(1.6945019082752553e-09), 'D': np.float64(7593.2124107223035), 'ra': np.float64(0.2144185228566842), 'dec': np.float64(-0.9014618421517863), 'psi': np.float64(0.5229069071039537), 'iota': np.float64(0.5968769128108484), 'phi0': np.float64(0.20575512950104258)}",1.9833509772505794e-34,2.030042991333587e-30,9.769994949455063e-05,9.769994949455063e-05,2.513579689163419e-15,0.23608626843798391,1.6945019082752553,25845884563.778175,7593.2124107223035,12.28527640911738,-51.64995894738577,7.782713880875778e-33,3.1063155260102285e-31,1099,1112,56.703706976979014,230.33851048653796,True,88,16,30
"{'Mc': np.float64(1.4696741263299478e+40), 'f': np.float64(2.6841839958623627e-08), 'D': np.float64(10150.259276559447), 'ra': np.float64(3.363860461628485), 'dec': np.float64(-0.9785118373455494), 'psi': np.float64(0.19798249629389694), 'iota': np.float64(3.0039915856670425), 'phi0': np.float64(5.518997569266208)}",-4.534364787558313e-34,2.030042991333587e-30,-0.00022336299314427687,0.00022336299314427687,1.4721053575838305e-15,0.008728643221652777,26.841839958623627,7390979629.212147,10150.259276559447,192.735007322241,-56.06459848349167,-3.2184769858153153e-35,3.1183640839774545e-33,1091,1120,38.50905710681781,114.67622667051016,True,1514,30,31
"{'Mc': np.float64(3.471483931294308e+40), 'f': np.float64(1.977350157858685e-09), 'D': np.float64(8423.038730496748), 'ra': np.float64(6.057536325941605), 'dec': np.float64(0.652692445294642), 'psi': np.float64(0.9334985155702755), 'iota': np.float64(0.5745514920124652), 'phi0': np.float64(5.0520291819193615)}",-9.312267494989885e-34,2.030042991333587e-30,-0.0004587226740884152,0.0004587226740884152,1.3060253796473317e-15,0.10512068090127172,1.977350157858685,17458065403.52285,8423.038730496748,347.071265723637,37.396522435456355,1.776642319651229e-33,5.924280794977623e-32,1079,1132,7.437905138942782,127.75141138609509,True,407,39,32
"{'Mc': np.float64(3.341647791240473e+40), 'f': np.float64(1.5534355253972225e-09), 'D': np.float64(6484.389011909431), 'ra': np.float64(4.261616435567228), 'dec': np.float64(0.5680960757627723), 'psi': np.float64(2.871341121593091), 'iota': np.float64(2.42058168214703), 'phi0': np.float64(4.622828194597309)}",-1.043207278185747e-33,2.030042991333587e-30,-0.0005138843278882668,0.0005138843278882668,1.355502459043643e-15,0.13887600302873887,1.5534355253972225,16805120475.745035,6484.389011909431,244.1726356615877,32.54950749915111,-1.514021069098691e-33,1.025206103520318e-31,1116,1095,6.1151200095999565,87.19414299188232,True,1628,33,33
"{'Mc': np.float64(2.700676706551779e+40), 'f': np.float64(1.5290964283660278e-09), 'D': np.float64(5705.129133269378), 'ra': np.float64(4.744923572716777), 'dec': np.float64(-0.19854835346602984), 'psi': np.float64(2.5018686069603953), 'iota': np.float64(2.0051991053586034), 'phi0': np.float64(0.5007269155207933)}",-1.619046471755783e-33,2.030042991333587e-30,-0.0007975429479413095,0.0007975429479413095,1.0690176148717361e-15,0.11126795832029614,1.5290964283660278,13581681929.080042,5705.129133269378,271.8640948288073,-11.375982682875179,3.5204609123751347e-34,3.0987278311680393e-32,1111,1100,5.7452384143631186,80.12076906136205,True,958,49,34
"{'Mc': np.float64(5.142414253295787e+40), 'f': np.float64(1.6264184359641816e-09), 'D': np.float64(13945.29529544352), 'ra': np.float64(5.234990784694417), 'dec': np.float64(0.8707232948466029), 'psi': np.float64(2.9380829057667976), 'iota': np.float64(0.9565585173904646), 'phi0': np.float64(1.7526790608093015)}",-2.2168727284947905e-33,2.030042991333587e-30,-0.0010920324042194153,0.0010920324042194153,1.3330455887401775e-15,0.1304466243885577,1.6264184359641816,25861160858.83009,13945.29529544352,299.9428777528691,49.88876991843553,6.4111517911791586e-34,4.715263018725623e-32,1109,1102,15.954495974190284,104.13906482564187,True,184,36,35
"{'Mc': np.float64(6.20791632734228e+40), 'f': np.float64(1.1696832434852966e-09), 'D': np.float64(15093.490824360893), 'ra': np.float64(0.5539410984262889), 'dec': np.float64(-0.6174726099448662), 'psi': np.float64(1.6833046353122019), 'iota': np.float64(0.809693670516604), 'phi0': np.float64(5.352966922582313)}",-2.432869555690818e-33,2.030042991333587e-30,-0.0011984325288069905,0.0011984325288069905,1.3531262992892886e-15,0.18411543497694025,1.1696832434852966,31219562414.02827,15093.490824360893,31.738487038667284,-35.37857451476854,-1.7660322481845237e-34,9.677288785740944e-32,1115,1096,39.40963506093728,208.3587009757284,True,489,34,36
"{'Mc': np.float64(3.416335125222277e+40), 'f': np.float64(3.821956161322089e-09), 'D': np.float64(12923.007325283961), 'ra': np.float64(5.595277122264401), 'dec': np.float64(0.15022143177355513), 'psi': np.float64(0.10667072974842935), 'iota': np.float64(2.5145605441769288), 'phi0': np.float64(0.5662597724289605)}",-4.306082763112866e-33,2.030042991333587e-30,-0.0021211781137127988,0.0021211781137127988,1.2860773236065846e-15,0.053555183421983135,3.8219561613220887,17180722491.27358,12923.007325283961,320.58576431185486,8.607054033037153,-3.3622577642548706e-34,3.2619155461079757e-32,1107,1104,12.98955363783575,101.07327238431556,True,1964,40,37
