sim_id,status,phase_reached,resumable,reason,log_file
465,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-17_optimistic/logs/stage2_sim465_try1_13250277.out
466,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim466_try1_13250279.out
467,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim467_try1_13250281.out
468,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim468_try1_13250283.out
469,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim469_try1_13250285.out
470,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim470_try1_13250287.out
471,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-17_optimistic/logs/stage2_sim471_try1_13250289.out
472,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim472_try1_13250291.out
473,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-17_optimistic/logs/stage2_sim473_try1_13250293.out
474,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim474_try1_13250295.out
475,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-17_optimistic/logs/stage2_sim475_try1_13250297.out
476,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim476_try1_13250299.out
477,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim477_try1_13250301.out
478,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim478_try1_13250303.out
479,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-17_optimistic/logs/stage2_sim479_try1_13250305.out
480,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim480_try1_13250307.out
481,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-17_optimistic/logs/stage2_sim481_try1_13250309.out
482,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim482_try1_13250311.out
483,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim483_try1_13250313.out
484,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-17_optimistic/logs/stage2_sim484_try1_13250315.out
485,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-17_optimistic/logs/stage2_sim485_try1_13250317.out
486,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim486_try1_13250319.out
487,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim487_try1_13250321.out
488,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim488_try1_13250323.out
489,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim489_try1_13250325.out
490,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim490_try1_13250327.out
491,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-17_optimistic/logs/stage2_sim491_try1_13250329.out
492,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim492_try1_13250331.out
493,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim493_try1_13250333.out
494,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-17_optimistic/logs/stage2_sim494_try1_13250335.out
495,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim495_try1_13250337.out
496,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim496_try1_13250339.out
497,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim497_try1_13250341.out
498,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-17_optimistic/logs/stage2_sim498_try1_13250343.out
499,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim499_try1_13250345.out
500,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim500_try1_13250347.out
501,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim501_try1_13250349.out
502,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim502_try1_13250351.out
503,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim503_try1_13250353.out
504,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim504_try1_13250355.out
