binary,OS,OS_sig,SNR,abs_SNR,h_0,residual_amplitude_us,frequency_nHz,chirp_mass_Msun,distance_Mpc,ra_deg,dec_deg,mean_rho,std_rho,pos_corr,neg_corr,success,index,rank,final_rank
"{'Mc': np.float64(6.163570476847631e+40), 'f': np.float64(1.7273285974515895e-09), 'D': np.float64(5444.070076254308), 'ra': np.float64(3.94008388943538), 'dec': np.float64(0.5296703894514906), 'psi': np.float64(1.0171935643154877), 'iota': np.float64(0.0272176296277979), 'phi0': np.float64(4.573783175550628)}",-3.2533225836916104e-32,2.030042991333587e-30,-0.01602588022805576,0.01602588022805576,4.80713485677194e-15,0.4429263057957603,1.7273285974515895,30996547480.463024,5444.070076254308,225.75017779213735,30.34787784862105,5.8732962507222714e-33,4.479199997730152e-31,1126,1085,True,1599,10,21
"{'Mc': np.float64(5.392708246524952e+40), 'f': np.float64(1.5802137236174514e-09), 'D': np.float64(3539.7378762904686), 'ra': np.float64(3.9874789868448977), 'dec': np.float64(0.4462111510544827), 'psi': np.float64(3.0675728777741105), 'iota': np.float64(1.4331111649536599), 'phi0': np.float64(3.0208711488429207)}",-3.116442438323648e-32,2.030042991333587e-30,-0.015351608077405186,0.015351608077405186,5.5764406551276434e-15,0.5616443407986931,1.5802137236174514,27119887383.390003,3539.7378762904686,228.46571684331414,25.566015727096314,8.766690743001255e-33,8.54161270000708e-31,1132,1079,True,630,9,22
"{'Mc': np.float64(5.679451911462065e+40), 'f': np.float64(2.430758092537402e-09), 'D': np.float64(11396.528417000995), 'ra': np.float64(5.9990254942006285), 'dec': np.float64(-0.5523436505188822), 'psi': np.float64(2.076513269194032), 'iota': np.float64(1.8723174325211371), 'phi0': np.float64(3.9755810883410057)}",-2.6640303118533064e-32,2.030042991333587e-30,-0.013123024109470888,0.013123024109470888,2.516162701491686e-15,0.16474684700024178,2.430758092537402,28561919020.4633,11396.528417000995,343.7188420090789,-31.646960015580873,-2.2661130872562985e-34,2.2841265286059223e-31,1099,1112,True,14,23,23
"{'Mc': np.float64(6.12032029180112e+40), 'f': np.float64(1.3458833004435821e-09), 'D': np.float64(11022.267632783445), 'ra': np.float64(1.0019493060222253), 'dec': np.float64(0.7017902119923267), 'psi': np.float64(1.0842727994892418), 'iota': np.float64(1.1335498175336152), 'phi0': np.float64(2.4570160113486654)}",2.422056819995204e-32,2.030042991333587e-30,0.011931061708225662,0.011931061708225662,1.986996010631233e-15,0.2349685421400274,1.3458833004435822,30779042639.824184,11022.267632783445,57.40746652113527,40.209617250751656,1.2464835265969095e-33,2.2166870368032935e-31,1105,1106,True,597,33,24
"{'Mc': np.float64(6.707277686107604e+40), 'f': np.float64(1.1997961176463562e-09), 'D': np.float64(11182.771077476858), 'ra': np.float64(5.493359336804055), 'dec': np.float64(0.5958495154446066), 'psi': np.float64(2.653174004404798), 'iota': np.float64(2.9417851934059955), 'phi0': np.float64(3.766290543767885)}",2.3991795863180024e-32,2.030042991333587e-30,0.011818368362444974,0.011818368362444974,2.1131910940368763e-15,0.2803183002237985,1.1997961176463563,33730846762.12165,11182.771077476858,314.74630534765726,34.13966245989112,2.6713306449633442e-33,2.1511795260508182e-31,1085,1126,True,1171,31,25
"{'Mc': np.float64(3.6007484108615443e+40), 'f': np.float64(1.885706425690099e-09), 'D': np.float64(6051.055726130069), 'ra': np.float64(3.1287048413031773), 'dec': np.float64(-1.2885062682860797), 'psi': np.float64(3.0664316167708905), 'iota': np.float64(2.9562879615766975), 'phi0': np.float64(2.753883382174544)}",2.3777056997329942e-32,2.030042991333587e-30,0.011712587910126073,0.011712587910126073,1.872027787776683e-15,0.15800045647137714,1.8857064256900993,18108135455.20699,6051.055726130069,179.26158274882008,-73.82597104894373,8.95964339673342e-33,1.9784551935698116e-31,1110,1101,True,1110,38,26
"{'Mc': np.float64(5.284918847842501e+40), 'f': np.float64(1.5676234237449394e-09), 'D': np.float64(11872.178262474728), 'ra': np.float64(1.119832543860913), 'dec': np.float64(0.3991730377041691), 'psi': np.float64(2.869818838608533), 'iota': np.float64(1.7468560714396875), 'phi0': np.float64(4.713438995532625)}",-2.1493226664286502e-32,2.030042991333587e-30,-0.010587572162778214,0.010587572162778214,1.5990696677487756e-15,0.16234756263245326,1.5676234237449393,26577815344.674557,11872.178262474728,64.16167852462895,22.870930355865372,-7.828841099711641e-34,1.416974095652268e-31,1130,1081,True,713,46,27
"{'Mc': np.float64(3.6750509842722323e+40), 'f': np.float64(2.285630974343017e-09), 'D': np.float64(5133.652387952378), 'ra': np.float64(5.160195735317944), 'dec': np.float64(-0.9639683116908359), 'psi': np.float64(1.6475230722398972), 'iota': np.float64(1.819716647131497), 'phi0': np.float64(0.8564110175276964)}",2.043362652494204e-32,2.030042991333587e-30,0.01006561270484162,0.01006561270484162,2.595310504319885e-15,0.18071880380408245,2.285630974343017,18481802512.84773,5133.652387952378,295.65743709512464,-55.23131584423635,9.20526350794231e-33,3.0608172680091266e-31,1099,1112,True,1700,21,28
"{'Mc': np.float64(5.373153976090472e+40), 'f': np.float64(1.1202742167536615e-09), 'D': np.float64(10088.335290390893), 'ra': np.float64(2.6981023953007037), 'dec': np.float64(1.0353289138115045), 'psi': np.float64(1.0351680639530116), 'iota': np.float64(2.113945633376183), 'phi0': np.float64(0.8237715081455704)}",2.0251701251356743e-32,2.030042991333587e-30,0.009975996241366733,0.009975996241366733,1.5462686694930042e-15,0.2196750567116321,1.1202742167536615,27021549111.077724,10088.335290390893,154.58987994486841,59.31997716926297,9.448483797436545e-34,1.3256986567628896e-31,1132,1079,True,460,49,29
"{'Mc': np.float64(7.063970058431456e+40), 'f': np.float64(4.648211291153225e-09), 'D': np.float64(8338.033039370432), 'ra': np.float64(4.965582507387963), 'dec': np.float64(-0.12723107170669723), 'psi': np.float64(1.8972027689042872), 'iota': np.float64(0.7677748721354422), 'phi0': np.float64(4.3759328092565655)}",-1.8843942017700514e-32,2.030042991333587e-30,-0.009282533472515992,0.009282533472515992,7.621629014010003e-15,0.26096488649321903,4.648211291153225,35524649898.824,8338.033039370432,284.5069204973192,-7.289803431720091,4.635153049699428e-32,1.622347960082723e-30,1114,1097,True,164,3,30
